Attributes,Adj Close,Close,High,Low,Open,Volume
Symbols,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,,
2019-11-27,7531.663573999999,7531.663573999999,7619.693359000001,6974.174316,7220.880859000001,23991412764.0
2019-11-28,7463.105956999999,7463.105956999999,7730.072754000001,7454.121581999999,7536.820312999999,19050116751.0
2019-11-29,7761.243651999999,7761.243651999999,7781.179687999999,7460.756348000001,7466.727051000001,19709695456.0
2019-11-30,7569.629883,7569.629883,7836.102051000001,7515.849609000001,7764.057129000001,17158194786.0
2019-12-01,7424.29248,7424.29248,7571.616211,7291.341797,7571.616211,18720708479.0
2019-12-02,7321.988281,7321.988281,7474.818848000001,7233.399414,7424.036133,17082040706.0
2019-12-03,7320.145508,7320.145508,7418.858887,7229.356934,7323.975586,14797485769.0
2019-12-04,7252.034668000001,7252.034668000001,7539.784668000001,7170.922852,7320.125,21664240918.0
2019-12-05,7448.307617,7448.307617,7743.431640999999,7232.676758,7253.241698999999,18816085231.0
2019-12-06,7546.996581999999,7546.996581999999,7546.996581999999,7392.175293000001,7450.561523,18104466307.0
2019-12-07,7556.237793000001,7556.237793000001,7589.95166,7525.711426000001,7547.265625,15453520564.0
2019-12-08,7564.345215,7564.345215,7634.606445,7476.091309,7551.338867,15409908086.0
2019-12-09,7400.899414,7400.899414,7618.091797,7365.985352,7561.79541,17872021272.0
2019-12-10,7278.119629000001,7278.119629000001,7424.022948999999,7246.043945,7397.134276999999,18249031195.0
2019-12-11,7217.427245999999,7217.427245999999,7324.15625,7195.527344,7277.197754000001,16350490689.0
2019-12-12,7243.134276999999,7243.134276999999,7266.639648,7164.741211,7216.73877,18927080224.0
2019-12-13,7269.68457,7269.68457,7293.560547,7227.122559,7244.662109000001,17125736940.0
2019-12-14,7124.673828,7124.673828,7308.836426000001,7097.208984000001,7268.902831999999,17137029730.0
2019-12-15,7152.301758,7152.301758,7181.075684,6924.375977,7124.239745999999,16881129804.0
2019-12-16,6932.480469,6932.480469,7171.168945,6903.682617,7153.663086,20213265950.0
2019-12-17,6640.515136999999,6640.515136999999,6964.075195,6587.974121,6931.31543,22363804217.0
2019-12-18,7276.802734000001,7276.802734000001,7324.984863,6540.049316,6647.698242,31836522778.0
2019-12-19,7202.844238,7202.844238,7346.602539,7041.381836,7277.59082,25904604416.0
2019-12-20,7218.816406,7218.816406,7257.921875,7086.124023,7208.636719,22633815180.0
2019-12-21,7191.158691,7191.158691,7223.226073999999,7112.73584,7220.59375,19312552168.0
2019-12-22,7511.588867,7511.588867,7518.033203,7167.179198999999,7191.188477,23134537956.0
2019-12-23,7355.628418000001,7355.628418000001,7656.17627,7326.192383,7508.902344,27831788041.0
2019-12-24,7322.532227,7322.532227,7535.716797,7269.528809,7354.393066,22991622105.0
2019-12-25,7275.155762,7275.155762,7357.02002,7220.991211,7325.755859000001,21559505149.0
2019-12-26,7238.966797,7238.966797,7388.302734000001,7200.386719,7274.799316,22787010034.0
2019-12-27,7290.088379000001,7290.088379000001,7363.529297,7189.934081999999,7238.141113,22777360996.0
2019-12-28,7317.990234000001,7317.990234000001,7399.041015999999,7286.905273,7289.03125,21365673026.0
2019-12-29,7422.652831999999,7422.652831999999,7513.948242,7279.865234000001,7317.647461,22445257702.0
2019-12-30,7292.995117,7292.995117,7454.824219,7276.308105,7420.272948999999,22874131672.0
2019-12-31,7193.599120999999,7193.599120999999,7335.290039,7169.777831999999,7294.438965,21167946112.0
2020-01-01,7200.174316,7200.174316,7254.330566,7174.944336,7194.89209,18565664997.0
2020-01-02,6985.470215,6985.470215,7212.155273,6935.27002,7202.55127,20802083465.0
2020-01-03,7344.884276999999,7344.884276999999,7413.715331999999,6914.996094,6984.428711,28111481032.0
2020-01-04,7410.656738,7410.656738,7427.385742,7309.51416,7345.375488,18444271275.0
2020-01-05,7411.317383,7411.317383,7544.49707,7400.535645,7410.45166,19725074095.0
2020-01-06,7769.219238,7769.219238,7781.867187999999,7409.292969,7410.452148,23276261598.0
2020-01-07,8163.692383,8163.692383,8178.21582,7768.227539,7768.682129000001,28767291327.0
2020-01-08,8079.862793000001,8079.862793000001,8396.738281,7956.774414,8161.935547,31672559265.0
2020-01-09,7879.071289,7879.071289,8082.295898,7842.403809,8082.295898,24045990466.0
2020-01-10,8166.554198999999,8166.554198999999,8166.554198999999,7726.774901999999,7878.307617,28714583844.0
2020-01-11,8037.537598000001,8037.537598000001,8218.359375,8029.64209,8162.190918000001,25521165085.0
2020-01-12,8192.494141,8192.494141,8200.063477,8009.059081999999,8033.261719,22903438381.0
2020-01-13,8144.194336,8144.194336,8197.788086,8079.700684,8189.771973000001,22482910688.0
2020-01-14,8827.764648,8827.764648,8879.511719,8140.933105,8140.933105,44841784107.0
2020-01-15,8807.010742,8807.010742,8890.117188,8657.1875,8825.34375,40102834650.0
2020-01-16,8723.786133,8723.786133,8846.460938,8612.095703,8812.481445,31313981931.0
2020-01-17,8929.038086,8929.038086,8958.12207,8677.316406,8725.209961,36372139320.0
2020-01-18,8942.808594,8942.808594,9012.198242,8827.332031,8927.211914,32337772627.0
2020-01-19,8706.245117,8706.245117,9164.362305,8620.080078,8941.445313,34217320471.0
2020-01-20,8657.642578,8657.642578,8745.59082,8560.473633,8704.631836,26422375678.0
2020-01-21,8745.894531,8745.894531,8755.706055,8544.520508,8658.991211,24097418512.0
2020-01-22,8680.875977,8680.875977,8792.994141,8636.74707,8744.210938,22600204051.0
2020-01-23,8406.515625,8406.515625,8687.74707,8333.637695,8680.650391,25770680779.0
2020-01-24,8445.43457,8445.43457,8514.666992,8266.84082,8405.567383,24397913026.0
2020-01-25,8367.847656,8367.847656,8458.453125,8296.21875,8440.119141,19647331549.0
2020-01-26,8596.830078,8596.830078,8602.401367,8325.498047,8364.410156,22177678796.0
2020-01-27,8909.819336,8909.819336,8977.726563,8597.308594,8597.308594,28647338393.0
2020-01-28,9358.589844,9358.589844,9358.589844,8908.447266,8912.524414,34398744403.0
2020-01-29,9316.629883,9316.629883,9406.431641,9269.467773,9357.470703,30682598115.0
2020-01-30,9508.993164,9508.993164,9553.125977,9230.897461,9316.016602,32378792851.0
2020-01-31,9350.529297,9350.529297,9521.706055,9230.776367,9508.313477,29432489719.0
2020-02-01,9392.875,9392.875,9439.323242,9313.239258,9346.357422,25922656496.0
2020-02-02,9344.365234,9344.365234,9468.797852,9217.824219,9389.820313,30835736946.0
2020-02-03,9293.521484,9293.521484,9540.37207,9248.633789,9344.683594,30934096509.0
2020-02-04,9180.962891,9180.962891,9331.265625,9112.811523,9292.841797,29893183716.0
2020-02-05,9613.423828,9613.423828,9701.299805,9163.704102,9183.416016,35222060874.0
2020-02-06,9729.801758,9729.801758,9824.619141,9539.818359,9617.821289,37628823716.0
2020-02-07,9795.943359,9795.943359,9834.716797,9726.00293,9726.00293,34522718159.0
2020-02-08,9865.119141,9865.119141,9876.749023,9678.910156,9793.070313,35172043762.0
2020-02-09,10116.673828,10116.673828,10129.435547,9850.392578,9863.894531,35807884663.0
2020-02-10,9856.611328,9856.611328,10165.765625,9784.563477,10115.55957,39386548075.0
2020-02-11,10208.236328,10208.236328,10210.052734,9729.334961,9855.891602,37648059389.0
2020-02-12,10326.054688,10326.054688,10393.611328,10202.387695,10202.387695,43444303830.0
2020-02-13,10214.379883,10214.379883,10457.626953,10116.161133,10323.960938,49356071373.0
2020-02-14,10312.116211,10312.116211,10321.996094,10125.53418,10211.550781,43338264162.0
2020-02-15,9889.424805,9889.424805,10341.555664,9874.427734,10313.856445,43865054831.0
2020-02-16,9934.433594,9934.433594,10053.96875,9722.386719,9889.179688,43374780305.0
2020-02-17,9690.142578,9690.142578,9938.81543,9507.637695,9936.560547,45998298413.0
2020-02-18,10141.996094,10141.996094,10161.935547,9632.382813,9691.230469,47271023953.0
2020-02-19,9633.386719,9633.386719,10191.675781,9611.223633,10143.798828,46992019710.0
2020-02-20,9608.475586,9608.475586,9643.216797,9507.900391,9629.325195,44925260237.0
2020-02-21,9686.441406,9686.441406,9723.014648,9589.743164,9611.782227,40930547513.0
2020-02-22,9663.181641,9663.181641,9698.231445,9600.728516,9687.707031,35838025154.0
2020-02-23,9924.515625,9924.515625,9937.404297,9657.791016,9663.318359,41185185761.0
2020-02-24,9650.174805,9650.174805,9951.746094,9537.042969,9921.583008,45080496648.0
2020-02-25,9341.705078,9341.705078,9652.737305,9305.021484,9651.3125,42515259129.0
2020-02-26,8820.522461,8820.522461,9354.77832,8704.426758,9338.290039,50420050762.0
2020-02-27,8784.494141,8784.494141,8932.892578,8577.199219,8825.09375,45470195695.0
2020-02-28,8672.455078,8672.455078,8890.456055,8492.932617,8788.728516,44605450443.0
2020-02-29,8599.508789,8599.508789,8775.631836,8599.508789,8671.212891,35792392544.0
2020-03-01,8562.454102,8562.454102,8726.796875,8471.212891,8599.758789,35349164300.0
2020-03-02,8869.669922,8869.669922,8921.308594,8532.630859,8563.264648,42857674409.0
2020-03-03,8787.786133,8787.786133,8901.598633,8704.990234,8865.387695,42386715821.0
2020-03-04,8755.246094,8755.246094,8843.366211,8712.431641,8788.541992,34746706368.0
2020-03-05,9078.762695,9078.762695,9142.054688,8757.253906,8760.285156,39698054597.0
2020-03-06,9122.545898,9122.545898,9167.695313,9032.079102,9078.308594,40826885651.0
2020-03-07,8909.954102,8909.954102,9163.220703,8890.744141,9121.600586,36216930370.0
2020-03-08,8108.116211,8108.116211,8914.34375,8105.25293,8908.206055,39973102121.0
2020-03-09,7923.644531,7923.644531,8177.793456999999,7690.098145,8111.146484000001,46936995808.0
2020-03-10,7909.729492,7909.729492,8136.945312999999,7814.763184,7922.146973000001,42213940994.0
2020-03-11,7911.430176000001,7911.430176000001,7950.814453,7642.8125,7910.089844,38682762605.0
2020-03-12,4970.788086,4970.788086,7929.116211,4860.354004,7913.616211,53980357243.0
2020-03-13,5563.707031,5563.707031,5838.114746,4106.980957,5017.831055,74156772075.0
2020-03-14,5200.366211,5200.366211,5625.226563,5125.069336,5573.077636999999,36154506008.0
2020-03-15,5392.314941,5392.314941,5836.64502,5169.283203,5201.066895,33997889639.0
2020-03-16,5014.47998,5014.47998,5385.229492,4575.35791,5385.229492,45368026430.0
2020-03-17,5225.629395,5225.629395,5371.348633,4981.90918,5002.578125,38622642935.0
2020-03-18,5238.438477000001,5238.438477000001,5331.833984000001,5069.335938,5227.11377,37878801016.0
2020-03-19,6191.192871,6191.192871,6329.73584,5236.96875,5245.416504,51000731797.0
2020-03-20,6198.77832,6198.77832,6844.261719,5865.781738000001,6191.653809,54442976103.0
2020-03-21,6185.066406,6185.066406,6378.135254,5932.823242,6206.521484000001,42494390880.0
2020-03-22,5830.254883,5830.254883,6359.697265999999,5823.713867,6185.558105,40099664740.0
2020-03-23,6416.314941,6416.314941,6443.93457,5785.004395,5831.374511999999,46491916000.0
2020-03-24,6734.803711,6734.803711,6789.022948999999,6411.066406,6436.642578,48221910672.0
2020-03-25,6681.062988000001,6681.062988000001,6892.51123,6536.92627,6738.716797,44590107888.0
2020-03-26,6716.44043,6716.44043,6735.463867,6590.962890999999,6675.170897999999,35319797642.0
2020-03-27,6469.79834,6469.79834,6793.836426000001,6466.70166,6719.38916,34585598367.0
2020-03-28,6242.193848,6242.193848,6467.500977000001,6117.837890999999,6467.253906,34885225901.0
2020-03-29,5922.042969,5922.042969,6250.467285,5920.085938,6245.624511999999,28373690931.0
2020-03-30,6429.841797,6429.841797,6517.195801,5903.234375,5925.538574,37101651525.0
2020-03-31,6438.644531,6438.644531,6504.515136999999,6374.162109000001,6430.606445,32786468812.0
2020-04-01,6606.776367,6606.776367,6612.57373,6202.373535,6437.319336,40346426266.0
2020-04-02,6793.624512,6793.624512,7088.247559,6595.918457,6606.776367,47660646124.0
2020-04-03,6733.387206999999,6733.387206999999,7003.220703,6673.335938,6797.396484000001,38976504903.0
2020-04-04,6867.527344,6867.527344,6878.953613,6696.484863000001,6738.382812999999,33185988584.0
2020-04-05,6791.129395,6791.129395,6883.414062999999,6715.929198999999,6862.537598000001,29510409856.0
2020-04-06,7271.78125,7271.78125,7271.78125,6782.889648,6788.049805,46896904615.0
2020-04-07,7176.414551000001,7176.414551000001,7427.939453,7136.714355,7273.644043000001,44243482668.0
2020-04-08,7334.098633,7334.098633,7356.223633,7153.305664,7179.283203,37563249549.0
2020-04-09,7302.089355,7302.089355,7341.448242,7179.094238,7337.966309,34815139178.0
2020-04-10,6865.493164,6865.493164,7303.81543,6802.475098000001,7303.81543,43622840992.0
2020-04-11,6859.083008,6859.083008,6926.069823999999,6789.920898,6867.44043,31222085946.0
2020-04-12,6971.091797,6971.091797,7119.947265999999,6811.078125,6858.067870999999,35759567632.0
2020-04-13,6845.037598000001,6845.037598000001,6965.616698999999,6668.259765999999,6965.616698999999,38619308647.0
2020-04-14,6842.427734000001,6842.427734000001,6958.557129000001,6793.821289,6843.281738,34110434052.0
2020-04-15,6642.109863000001,6642.109863000001,6928.664551000001,6633.402832,6845.561523,32288311031.0
2020-04-16,7116.804198999999,7116.804198999999,7134.450684,6555.504395,6640.454102000001,46783242377.0
2020-04-17,7096.18457,7096.18457,7167.183105,7050.332031,7116.552734000001,32513423567.0
2020-04-18,7257.665039,7257.665039,7269.956543000001,7089.24707,7092.291504000001,32447188386.0
2020-04-19,7189.424805,7189.424805,7280.521973000001,7167.054687999999,7260.922363,31311210215.0
2020-04-20,6881.958495999999,6881.958495999999,7240.290526999999,6835.50293,7186.873535,37747113936.0
2020-04-21,6880.323242,6880.323242,6934.551758,6834.442383,6879.78418,32589741511.0
2020-04-22,7117.20752,7117.20752,7145.865723000001,6867.781738,6879.44043,33249153866.0
2020-04-23,7429.724609000001,7429.724609000001,7491.785156,7081.594727,7121.306151999999,43500782316.0
2020-04-24,7550.900879000001,7550.900879000001,7574.195801000001,7434.181640999999,7434.181640999999,34636526286.0
2020-04-25,7569.936035,7569.936035,7641.36377,7521.672363,7550.48291,32941541447.0
2020-04-26,7679.867187999999,7679.867187999999,7700.594238,7561.407715,7570.13916,33070154491.0
2020-04-27,7795.601073999999,7795.601073999999,7795.601073999999,7679.418945,7679.418945,36162144725.0
2020-04-28,7807.058594,7807.058594,7814.527344,7730.806640999999,7796.970215,33187959921.0
2020-04-29,8801.038086,8801.038086,8871.753906,7786.049316,7806.712401999999,60201052203.0
2020-04-30,8658.553711,8658.553711,9440.650391,8533.255859,8797.669922,66964629541.0
2020-05-01,8864.766602,8864.766602,9048.023438,8667.763672,8672.782227,44068389997.0
2020-05-02,8988.59668,8988.59668,9007.1875,8811.366211,8869.057617,40134388683.0
2020-05-03,8897.46875,8897.46875,9167.78125,8830.97168,8983.614258,47101785174.0
2020-05-04,8912.654297,8912.654297,8956.90625,8645.024414,8895.745117,45718796276.0
2020-05-05,9003.070313,9003.070313,9062.415039,8856.827148,8912.832031,43148462663.0
2020-05-06,9268.761719,9268.761719,9411.467773,8966.706055,9007.441406,49371886931.0
2020-05-07,9951.518555,9951.518555,9992.664063,9138.322266,9261.895508,61112700562.0
2020-05-08,9842.666016,9842.666016,9996.743164,9767.172852,9936.162109,51780748042.0
2020-05-09,9593.896484,9593.896484,9913.863281,9580.644531,9840.90625,46566121841.0
2020-05-10,8756.430664,8756.430664,9595.581055,8395.107422,9591.168945,63325279337.0
2020-05-11,8601.795898,8601.795898,9033.470703,8374.323242,8755.535156,57119858802.0
2020-05-12,8804.477539,8804.477539,8949.898438,8569.643555,8610.385742,42142717533.0
2020-05-13,9269.987305,9269.987305,9317.878906,8805.387695,8805.387695,45558144023.0
2020-05-14,9733.72168,9733.72168,9793.268555,9255.035156,9271.329102,56426907637.0
2020-05-15,9328.197266,9328.197266,9755.828125,9261.398438,9734.291016,48158802327.0
2020-05-16,9377.013672,9377.013672,9564.205078,9260.694336,9333.240234,36164766408.0
2020-05-17,9670.739258,9670.739258,9823.001953,9349.545898,9374.929688,40084250663.0
2020-05-18,9726.575195,9726.575195,9906.030273,9570.359375,9675.695313,41827139896.0
2020-05-19,9729.038086,9729.038086,9836.047852,9539.624023,9727.063477,39254288955.0
2020-05-20,9522.981445,9522.981445,9804.793945,9447.201172,9725.329102,36546239703.0
2020-05-21,9081.761719,9081.761719,9555.242188,8869.930664,9522.740234,39326160532.0
2020-05-22,9182.577148,9182.577148,9232.936523,9008.638672,9080.334961,29810773699.0
2020-05-23,9209.287109,9209.287109,9302.501953,9118.108398,9185.0625,27727866812.0
2020-05-24,8790.368164,8790.368164,9288.404297,8787.250977,9212.283203,32518803300.0
2020-05-25,8906.93457,8906.93457,8951.005859,8719.667969,8786.107422,31288157264.0
